epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,110.793,0.52733,0.40884,0.79732,0.93937,0.94519,0.92355,0.41672,1.5563,0.62508,1.22672,0.000828125,0.000828125,0.000828125
77,112.161,0.53088,0.40593,0.7893,0.94398,0.95171,0.9348,0.4253,1.52605,0.6404,1.20822,0.0008225,0.0008225,0.0008225
78,113.569,0.55092,0.41633,0.79536,0.94553,0.94764,0.93188,0.42778,1.53191,0.62746,1.21368,0.000816875,0.000816875,0.000816875
79,114.933,0.53922,0.4116,0.79864,0.93783,0.94967,0.92325,0.41308,1.56014,0.62009,1.23378,0.00081125,0.00081125,0.00081125
80,116.296,0.52613,0.39692,0.79078,0.95006,0.95788,0.93001,0.43382,1.50988,0.59037,1.20598,0.000805625,0.000805625,0.000805625
81,117.781,0.54316,0.40354,0.79377,0.94171,0.9493,0.91829,0.41742,1.55534,0.5977,1.23342,0.0008,0.0008,0.0008
82,119.087,0.54155,0.41475,0.79485,0.9328,0.94046,0.90823,0.40428,1.60402,0.60997,1.25497,0.000794375,0.000794375,0.000794375
83,120.457,0.52694,0.40445,0.79346,0.94301,0.95078,0.92036,0.42006,1.53663,0.57953,1.21745,0.00078875,0.00078875,0.00078875
84,121.882,0.54792,0.39702,0.79469,0.94232,0.95007,0.92113,0.41767,1.54677,0.57786,1.22108,0.000783125,0.000783125,0.000783125
85,123.262,0.54058,0.40991,0.78991,0.9407,0.94852,0.91863,0.41221,1.5562,0.57448,1.22378,0.0007775,0.0007775,0.0007775
86,124.633,0.54435,0.40395,0.79266,0.94763,0.95565,0.92846,0.42286,1.52795,0.56134,1.21127,0.000771875,0.000771875,0.000771875
87,125.932,0.52587,0.39052,0.7917,0.94369,0.95162,0.92428,0.4221,1.53695,0.56356,1.21532,0.00076625,0.00076625,0.00076625
88,127.303,0.52393,0.38803,0.79301,0.93416,0.94191,0.90941,0.40857,1.55919,0.57595,1.23316,0.000760625,0.000760625,0.000760625
89,128.617,0.55935,0.41082,0.79853,0.94284,0.95067,0.92073,0.41777,1.52791,0.58677,1.2197,0.000755,0.000755,0.000755
90,130.125,0.53543,0.39951,0.79516,0.95315,0.96111,0.9363,0.43655,1.49523,0.58538,1.20113,0.000749375,0.000749375,0.000749375
91,131.476,0.52167,0.38967,0.78942,0.95329,0.96105,0.93646,0.43847,1.49906,0.57873,1.20411,0.00074375,0.00074375,0.00074375
92,132.839,0.54648,0.39003,0.78884,0.93957,0.94756,0.91613,0.41449,1.5319,0.60545,1.22422,0.000738125,0.000738125,0.000738125
93,134.174,0.53931,0.38736,0.7919,0.94355,0.95159,0.921,0.42515,1.51768,0.58987,1.21638,0.0007325,0.0007325,0.0007325
94,135.535,0.5628,0.39592,0.7953,0.93956,0.94756,0.918,0.42403,1.52138,0.58825,1.21948,0.000726875,0.000726875,0.000726875
95,136.884,0.52851,0.375,0.79612,0.9396,0.94756,0.91552,0.43161,1.51124,0.57987,1.20822,0.00072125,0.00072125,0.00072125
96,138.275,0.51769,0.3683,0.7955,0.93946,0.94756,0.91759,0.42377,1.53005,0.58096,1.21844,0.000715625,0.000715625,0.000715625
97,139.671,0.53499,0.38846,0.79218,0.94336,0.95159,0.92481,0.42496,1.53575,0.58002,1.222,0.00071,0.00071,0.00071
98,141.068,0.53496,0.38778,0.79308,0.93477,0.94275,0.91204,0.42183,1.53378,0.5707,1.22053,0.000704375,0.000704375,0.000704375
99,142.409,0.5247,0.3791,0.79369,0.94624,0.95426,0.92781,0.43112,1.51196,0.56074,1.20732,0.00069875,0.00069875,0.00069875
100,143.94,0.5496,0.38356,0.79386,0.94366,0.95159,0.9221,0.43115,1.51421,0.55814,1.21296,0.000693125,0.000693125,0.000693125
101,145.281,0.52951,0.37856,0.79174,0.93809,0.94604,0.914,0.41331,1.54691,0.56427,1.23343,0.0006875,0.0006875,0.0006875
102,146.627,0.52403,0.37759,0.79341,0.937,0.94501,0.91251,0.42397,1.51972,0.56023,1.21527,0.000681875,0.000681875,0.000681875
103,147.943,0.48511,0.36676,0.78904,0.95062,0.95853,0.93276,0.43171,1.49484,0.56332,1.20467,0.00067625,0.00067625,0.00067625
104,149.305,0.53721,0.37926,0.79863,0.94277,0.95063,0.92042,0.41826,1.53169,0.5835,1.22649,0.000670625,0.000670625,0.000670625
105,150.644,0.54027,0.37872,0.79079,0.94301,0.9512,0.92117,0.4269,1.51936,0.57477,1.21091,0.000665,0.000665,0.000665
106,151.947,0.53192,0.37197,0.79593,0.94773,0.95604,0.92889,0.43085,1.50896,0.57118,1.2012,0.000659375,0.000659375,0.000659375
107,153.287,0.52756,0.36659,0.7911,0.94739,0.95587,0.92884,0.42356,1.50636,0.58345,1.20949,0.00065375,0.00065375,0.00065375
108,154.712,0.52504,0.37149,0.79374,0.94578,0.9539,0.92387,0.41414,1.52125,0.57563,1.22932,0.000648125,0.000648125,0.000648125
109,156.033,0.523,0.37544,0.79108,0.96146,0.97016,0.95018,0.44585,1.48398,0.5456,1.19149,0.0006425,0.0006425,0.0006425
